study_id,site_id,month,patients_screened,patients_enrolled,screen_failures,cumulative_enrolled
CT-2023-0003,SITE-00035,2025-10-01,1,1,0,19
CT-2023-0003,SITE-00036,2024-11-01,3,1,2,1
CT-2023-0003,SITE-00036,2024-12-01,1,1,0,2
CT-2023-0003,SITE-00036,2025-02-01,2,1,1,3
CT-2023-0003,SITE-00036,2025-04-01,2,1,1,4
CT-2023-0003,SITE-00036,2025-05-01,1,1,0,5
CT-2023-0003,SITE-00036,2025-06-01,2,1,1,6
CT-2023-0003,SITE-00036,2025-07-01,1,1,0,7
CT-2023-0003,SITE-00036,2025-08-01,4,3,1,10
CT-2023-0003,SITE-00036,2025-09-01,1,1,0,11
CT-2023-0003,SITE-00036,2025-10-01,2,2,0,13
CT-2023-0003,SITE-00036,2025-11-01,2,1,1,14
CT-2023-0003,SITE-00036,2026-02-01,3,2,1,16
CT-2023-0003,SITE-00036,2026-07-01,3,1,2,17
CT-2023-0003,SITE-00037,2025-07-01,1,1,0,1
CT-2023-0003,SITE-00037,2025-09-01,4,3,1,4
CT-2023-0003,SITE-00037,2025-10-01,3,1,2,5
CT-2023-0003,SITE-00037,2025-11-01,4,3,1,8
CT-2023-0003,SITE-00037,2026-01-01,1,1,0,9
CT-2023-0003,SITE-00038,2024-11-01,2,1,1,1
CT-2023-0003,SITE-00038,2025-04-01,1,1,0,2
CT-2023-0003,SITE-00038,2025-08-01,1,1,0,3
CT-2023-0003,SITE-00038,2025-11-01,3,2,1,5
CT-2023-0003,SITE-00038,2025-12-01,1,1,0,6
CT-2023-0003,SITE-00038,2026-02-01,1,0,1,6
CT-2023-0003,SITE-00038,2026-04-01,2,1,1,7
CT-2023-0003,SITE-00038,2026-06-01,1,1,0,8
CT-2023-0003,SITE-00039,2025-01-01,1,1,0,1
CT-2023-0003,SITE-00039,2025-02-01,4,3,1,4
CT-2023-0003,SITE-00039,2025-04-01,2,2,0,6
CT-2023-0003,SITE-00039,2025-05-01,2,1,1,7
CT-2023-0003,SITE-00039,2025-06-01,1,1,0,8
CT-2023-0003,SITE-00039,2025-07-01,1,0,1,8
CT-2023-0003,SITE-00039,2025-08-01,2,1,1,9
CT-2023-0003,SITE-00039,2025-10-01,2,1,1,10
CT-2023-0003,SITE-00040,2024-10-01,6,2,4,2
CT-2023-0003,SITE-00040,2024-11-01,4,3,1,5
CT-2023-0003,SITE-00040,2024-12-01,7,6,1,11
CT-2023-0003,SITE-00040,2025-01-01,4,4,0,15
CT-2023-0003,SITE-00040,2025-02-01,6,5,1,20
CT-2023-0003,SITE-00040,2025-05-01,1,1,0,21
CT-2023-0003,SITE-00041,2024-10-01,1,1,0,1
CT-2023-0003,SITE-00041,2024-11-01,3,2,1,3
CT-2023-0003,SITE-00041,2025-01-01,1,0,1,3
CT-2023-0003,SITE-00041,2025-04-01,1,1,0,4
CT-2023-0003,SITE-00041,2025-05-01,2,1,1,5
CT-2023-0003,SITE-00041,2025-06-01,2,2,0,7
CT-2023-0003,SITE-00041,2025-07-01,3,2,1,9
CT-2023-0003,SITE-00041,2025-09-01,2,2,0,11
CT-2023-0003,SITE-00041,2025-10-01,4,4,0,15
CT-2023-0003,SITE-00041,2025-11-01,4,2,2,17
CT-2023-0003,SITE-00042,2024-11-01,3,1,2,1
CT-2023-0003,SITE-00042,2024-12-01,4,2,2,3
CT-2023-0003,SITE-00042,2025-01-01,1,1,0,4
CT-2023-0003,SITE-00042,2025-02-01,2,2,0,6
CT-2023-0003,SITE-00042,2025-03-01,1,1,0,7
CT-2023-0003,SITE-00042,2025-05-01,1,1,0,8
CT-2023-0003,SITE-00042,2025-06-01,3,3,0,11
CT-2023-0003,SITE-00042,2025-07-01,1,1,0,12
CT-2023-0003,SITE-00042,2025-08-01,2,2,0,14
CT-2023-0003,SITE-00042,2025-09-01,2,1,1,15
CT-2023-0003,SITE-00042,2025-10-01,2,1,1,16
CT-2023-0003,SITE-00042,2025-12-01,1,1,0,17
CT-2023-0003,SITE-00042,2026-02-01,2,2,0,19
CT-2023-0003,SITE-00042,2026-03-01,1,1,0,20
CT-2023-0003,SITE-00042,2026-04-01,4,3,1,23
CT-2023-0003,SITE-00042,2026-05-01,2,1,1,24
CT-2023-0003,SITE-00043,2024-09-01,2,2,0,2
CT-2023-0003,SITE-00043,2024-10-01,1,1,0,3
CT-2023-0003,SITE-00043,2024-12-01,1,0,1,3
CT-2023-0003,SITE-00043,2025-01-01,3,1,2,4
CT-2023-0003,SITE-00043,2025-03-01,1,1,0,5
CT-2023-0003,SITE-00043,2025-04-01,2,2,0,7
CT-2023-0003,SITE-00043,2025-06-01,3,1,2,8
CT-2023-0003,SITE-00043,2025-07-01,2,2,0,10
CT-2023-0003,SITE-00043,2025-08-01,1,1,0,11
CT-2023-0003,SITE-00043,2025-09-01,1,1,0,12
CT-2023-0003,SITE-00043,2025-10-01,1,1,0,13
CT-2023-0003,SITE-00043,2025-11-01,1,1,0,14
CT-2023-0003,SITE-00043,2025-12-01,2,1,1,15
CT-2023-0003,SITE-00043,2026-01-01,2,1,1,16
CT-2023-0003,SITE-00043,2026-02-01,1,1,0,17
CT-2023-0003,SITE-00043,2026-03-01,2,0,2,17
CT-2023-0003,SITE-00044,2024-12-01,2,2,0,2
CT-2023-0003,SITE-00044,2025-01-01,3,2,1,4
CT-2023-0003,SITE-00044,2025-02-01,3,2,1,6
CT-2023-0003,SITE-00044,2025-03-01,3,2,1,8
CT-2023-0003,SITE-00044,2025-04-01,4,2,2,10
CT-2023-0003,SITE-00044,2025-05-01,5,5,0,15
CT-2023-0003,SITE-00044,2025-06-01,4,2,2,17
CT-2023-0003,SITE-00044,2025-07-01,2,2,0,19
CT-2023-0003,SITE-00044,2025-09-01,1,1,0,20
CT-2023-0003,SITE-00044,2025-10-01,1,1,0,21
CT-2023-0003,SITE-00045,2024-11-01,1,1,0,1
CT-2023-0003,SITE-00045,2024-12-01,3,2,1,3
CT-2023-0003,SITE-00045,2025-01-01,7,5,2,8
CT-2023-0003,SITE-00045,2025-02-01,2,2,0,10
CT-2023-0003,SITE-00045,2025-03-01,10,7,3,17
CT-2023-0003,SITE-00045,2025-04-01,7,7,0,24
CT-2023-0003,SITE-00045,2025-05-01,3,2,1,26
CT-2023-0003,SITE-00045,2025-06-01,4,1,3,27
CT-2023-0003,SITE-00046,2024-10-01,1,0,1,0
CT-2023-0003,SITE-00046,2025-01-01,3,3,0,3
CT-2023-0003,SITE-00046,2025-02-01,5,2,3,5
CT-2023-0003,SITE-00046,2025-07-01,1,1,0,6
CT-2023-0003,SITE-00046,2025-08-01,1,0,1,6
CT-2023-0003,SITE-00046,2025-10-01,3,1,2,7
CT-2023-0003,SITE-00046,2025-11-01,2,1,1,8
CT-2023-0003,SITE-00046,2025-12-01,1,1,0,9
CT-2023-0003,SITE-00047,2024-12-01,1,1,0,1
CT-2023-0003,SITE-00047,2025-01-01,2,2,0,3
CT-2023-0003,SITE-00047,2025-02-01,1,0,1,3
CT-2023-0003,SITE-00047,2025-03-01,12,10,2,13
CT-2023-0003,SITE-00047,2025-04-01,1,1,0,14
CT-2023-0003,SITE-00047,2025-05-01,3,3,0,17
CT-2023-0003,SITE-00047,2025-06-01,4,3,1,20
CT-2023-0003,SITE-00047,2025-07-01,4,3,1,23
CT-2023-0003,SITE-00047,2025-08-01,2,1,1,24
CT-2023-0003,SITE-00047,2025-09-01,1,1,0,25
CT-2023-0003,SITE-00048,2024-11-01,3,2,1,2
CT-2023-0003,SITE-00048,2024-12-01,2,1,1,3
CT-2023-0003,SITE-00048,2025-01-01,2,2,0,5
CT-2023-0003,SITE-00048,2025-02-01,2,1,1,6
CT-2023-0003,SITE-00048,2025-03-01,3,3,0,9
CT-2023-0003,SITE-00048,2025-04-01,6,4,2,13
CT-2023-0003,SITE-00048,2025-05-01,1,1,0,14
CT-2023-0003,SITE-00048,2025-06-01,6,4,2,18
CT-2023-0003,SITE-00048,2025-07-01,8,5,3,23
CT-2023-0003,SITE-00048,2025-08-01,1,1,0,24
CT-2023-0003,SITE-00048,2025-10-01,2,1,1,25
CT-2023-0003,SITE-00048,2025-11-01,3,2,1,27
CT-2023-0003,SITE-00049,2024-12-01,1,1,0,1
CT-2023-0003,SITE-00049,2025-01-01,4,3,1,4
CT-2023-0003,SITE-00049,2025-02-01,6,4,2,8
CT-2023-0003,SITE-00049,2025-03-01,8,5,3,13
CT-2023-0003,SITE-00049,2025-04-01,7,4,3,17
CT-2023-0003,SITE-00049,2025-05-01,1,1,0,18
CT-2023-0003,SITE-00049,2025-06-01,9,8,1,26
CT-2023-0003,SITE-00049,2025-07-01,1,1,0,27
CT-2023-0003,SITE-00050,2025-02-01,1,0,1,0
CT-2023-0003,SITE-00050,2025-05-01,2,1,1,1
CT-2023-0003,SITE-00050,2025-06-01,1,1,0,2
CT-2023-0003,SITE-00050,2025-07-01,1,1,0,3
CT-2023-0003,SITE-00050,2025-08-01,3,1,2,4
CT-2023-0003,SITE-00050,2025-09-01,1,1,0,5
CT-2023-0003,SITE-00050,2025-10-01,2,2,0,7
CT-2023-0003,SITE-00050,2025-11-01,4,3,1,10
CT-2023-0003,SITE-00050,2025-12-01,1,0,1,10
CT-2023-0003,SITE-00050,2026-01-01,2,2,0,12
CT-2023-0003,SITE-00050,2026-02-01,1,0,1,12
CT-2023-0003,SITE-00050,2026-05-01,1,0,1,12
CT-2023-0003,SITE-00050,2026-07-01,1,0,1,12
CT-2023-0003,SITE-00051,2024-12-01,1,1,0,1
CT-2023-0003,SITE-00051,2025-01-01,4,3,1,4
CT-2023-0003,SITE-00051,2025-02-01,4,2,2,6
CT-2023-0003,SITE-00051,2025-03-01,4,3,1,9
CT-2023-0003,SITE-00051,2025-04-01,3,3,0,12
CT-2023-0003,SITE-00051,2025-05-01,3,2,1,14
CT-2023-0003,SITE-00052,2024-12-01,1,0,1,0
CT-2023-0003,SITE-00052,2025-01-01,1,1,0,1
CT-2023-0003,SITE-00052,2025-02-01,1,1,0,2
CT-2023-0003,SITE-00052,2025-04-01,2,1,1,3
CT-2023-0003,SITE-00052,2025-05-01,2,0,2,3
CT-2023-0003,SITE-00052,2025-07-01,3,2,1,5
CT-2023-0003,SITE-00052,2025-08-01,5,3,2,8
CT-2023-0003,SITE-00052,2025-09-01,5,4,1,12
CT-2023-0003,SITE-00052,2025-11-01,1,1,0,13
CT-2023-0003,SITE-00052,2026-01-01,2,1,1,14
CT-2023-0003,SITE-00052,2026-02-01,2,1,1,15
CT-2023-0003,SITE-00052,2026-03-01,2,2,0,17
CT-2023-0003,SITE-00052,2026-04-01,3,2,1,19
CT-2023-0003,SITE-00052,2026-05-01,1,1,0,20
CT-2023-0003,SITE-00052,2026-07-01,1,1,0,21
CT-2023-0003,SITE-00053,2024-12-01,3,3,0,3
CT-2023-0003,SITE-00053,2025-04-01,1,1,0,4
CT-2023-0003,SITE-00053,2025-05-01,1,1,0,5
CT-2023-0003,SITE-00053,2025-06-01,3,2,1,7
CT-2023-0003,SITE-00053,2025-07-01,2,1,1,8
CT-2023-0003,SITE-00053,2025-08-01,2,2,0,10
CT-2023-0003,SITE-00053,2025-11-01,2,2,0,12
CT-2023-0003,SITE-00053,2025-12-01,2,1,1,13
CT-2023-0003,SITE-00053,2026-01-01,6,4,2,17
CT-2023-0003,SITE-00053,2026-02-01,1,1,0,18
CT-2023-0003,SITE-00053,2026-03-01,2,1,1,19
CT-2023-0003,SITE-00053,2026-05-01,4,3,1,22
CT-2023-0003,SITE-00053,2026-07-01,2,1,1,23
CT-2023-0003,SITE-00054,2024-12-01,1,0,1,0
CT-2023-0003,SITE-00054,2025-01-01,4,2,2,2
CT-2023-0003,SITE-00054,2025-02-01,2,2,0,4
CT-2023-0003,SITE-00054,2025-03-01,2,2,0,6
CT-2023-0003,SITE-00054,2025-04-01,6,4,2,10
CT-2023-0003,SITE-00054,2025-05-01,2,1,1,11
CT-2023-0003,SITE-00054,2025-06-01,3,2,1,13
CT-2023-0003,SITE-00054,2025-07-01,3,3,0,16
CT-2023-0003,SITE-00054,2025-08-01,3,2,1,18
CT-2023-0003,SITE-00054,2025-09-01,2,1,1,19
CT-2023-0003,SITE-00054,2025-10-01,3,2,1,21
CT-2023-0003,SITE-00055,2024-11-01,3,1,2,1
CT-2023-0003,SITE-00055,2024-12-01,1,1,0,2
CT-2023-0003,SITE-00055,2025-02-01,5,4,1,6
CT-2023-0003,SITE-00055,2025-03-01,7,4,3,10
CT-2023-0003,SITE-00055,2025-04-01,2,2,0,12
CT-2023-0003,SITE-00055,2025-05-01,2,2,0,14
CT-2023-0003,SITE-00056,2024-12-01,2,2,0,2
CT-2023-0003,SITE-00056,2025-01-01,1,1,0,3
CT-2023-0003,SITE-00056,2025-02-01,12,6,6,9
CT-2023-0003,SITE-00056,2025-03-01,7,4,3,13
CT-2023-0003,SITE-00056,2025-04-01,16,9,7,22
CT-2023-0003,SITE-00056,2025-05-01,9,5,4,27
CT-2023-0003,SITE-00057,2024-11-01,2,1,1,1
CT-2023-0003,SITE-00057,2024-12-01,11,6,5,7
CT-2023-0003,SITE-00057,2025-01-01,7,5,2,12
CT-2023-0003,SITE-00057,2025-02-01,6,5,1,17
CT-2023-0003,SITE-00057,2025-03-01,2,2,0,19
CT-2023-0003,SITE-00057,2025-04-01,4,2,2,21
CT-2023-0003,SITE-00058,2024-12-01,3,1,2,1
CT-2023-0003,SITE-00058,2025-01-01,5,3,2,4
