site_id,study_id,site_name,country,principal_investigator,planned_activation_date,actual_activation_date,target_enrollment,actual_enrollment,site_status
SITE-00103,CT-2023-0007,Stevenmouth Specialty Clinic,Germany,Dr. Lowe,2025-01-10,2025-01-29,39,39,Enrollment Complete
SITE-00104,CT-2023-0007,Leonburgh Clinical Research Center,Netherlands,Dr. Hopkins,2024-12-29,2025-02-24,32,32,Enrollment Complete
SITE-00105,CT-2023-0007,Zacharymouth Memorial Hospital,Netherlands,Dr. Davis,2024-11-09,2024-10-30,25,20,Enrollment Closed
SITE-00106,CT-2023-0007,Lake Lance Specialty Clinic,Germany,Dr. Drake,2025-01-05,2024-12-31,31,31,Enrollment Complete
SITE-00107,CT-2023-0007,North Brandon Specialty Clinic,Netherlands,Dr. Riggs,2024-11-02,2024-12-22,24,24,Enrollment Complete
SITE-00108,CT-2023-0007,South Robertshire Regional Clinical Institute,Netherlands,Dr. Lee,2025-01-02,2025-01-04,39,39,Enrollment Complete
SITE-00109,CT-2023-0007,Snyderbury Medical Center,Netherlands,Dr. Hernandez,2024-11-10,2024-11-13,20,20,Enrollment Complete
SITE-00110,CT-2023-0007,Port Michelleville General Hospital,Poland,Dr. Osborne,2025-01-18,2025-02-20,36,18,Enrollment Closed
SITE-00111,CT-2023-0007,East Linda General Hospital,United States,Dr. Dominguez,2024-11-02,2024-12-08,32,32,Enrollment Complete
SITE-00112,CT-2023-0007,Williamsbury University Hospital,Germany,Dr. Lowery,2024-12-07,2024-12-22,30,30,Enrollment Complete
SITE-00113,CT-2023-0007,South Dennismouth University Medical Faculty,Germany,Dr. Contreras,2024-12-04,2025-01-13,26,26,Enrollment Complete
SITE-00114,CT-2023-0007,Stephaniemouth Specialty Clinic,Germany,Dr. Salazar,2024-12-31,2025-02-12,25,25,Enrollment Complete
SITE-00115,CT-2023-0007,Rivasside Health Network,Czech Republic,Dr. Griffin,2024-12-09,2025-01-20,33,33,Enrollment Complete
SITE-00116,CT-2023-0007,Lake Michelle Clinical Research Center,Czech Republic,Dr. Cole,2025-01-05,2025-01-29,35,35,Enrollment Complete
SITE-00117,CT-2023-0008,Port Dana Medical Center,Spain,Dr. Cannon,2025-11-25,2025-11-26,6,4,Enrolling
SITE-00118,CT-2023-0008,Simsview General Hospital,Netherlands,Dr. Gonzales,2025-09-27,2025-10-31,12,8,Enrolling
SITE-00119,CT-2023-0008,Jimmymouth Regional Clinical Institute,Spain,Dr. Flores,2025-11-10,2025-11-08,7,7,Enrollment Complete
SITE-00120,CT-2023-0008,East Edwardfurt Medical Center,United States,Dr. Benson,2025-11-28,2025-12-22,7,3,Enrolling
SITE-00121,CT-2023-0008,North Robert Clinical Research Center,United Kingdom,Dr. Rivera,2025-09-20,2025-09-20,15,15,Enrollment Complete
SITE-00122,CT-2023-0008,Perryborough Memorial Hospital,Canada,Dr. Wall,2025-11-11,2025-12-28,6,5,Enrolling
SITE-00123,CT-2023-0008,Steinshire Health Network,United Kingdom,Dr. Shah,2025-12-08,2025-12-07,9,5,Enrolling
SITE-00124,CT-2023-0008,Port Nicoleshire Specialty Clinic,Japan,Dr. James,2025-09-18,2025-09-09,10,6,Enrolling
SITE-00125,CT-2023-0008,West Kennethfurt Specialty Clinic,Netherlands,Dr. Castaneda,2025-09-25,2025-09-07,13,11,Enrolling
SITE-00126,CT-2023-0008,Medinaside Medical Center,Canada,Dr. Marsh,2025-11-25,2025-11-18,6,3,Enrolling
SITE-00127,CT-2023-0008,South Jeffrey Regional Clinical Institute,United States,Dr. Graham,2025-10-16,2025-10-11,13,11,Enrolling
SITE-00128,CT-2023-0008,South Matthewfurt Medical Center,Canada,Dr. Ramsey,2025-11-16,2025-11-23,7,2,Enrolling
SITE-00129,CT-2023-0008,Calhounside Regional Clinical Institute,Italy,Dr. Johnson,2025-10-17,2025-11-06,6,5,Enrolling
SITE-00130,CT-2023-0008,Vargastown General Hospital,Canada,Dr. Miller,2025-12-11,2025-12-10,13,4,Enrolling
SITE-00131,CT-2023-0008,Taylormouth General Hospital,Italy,Dr. White,2025-10-19,2025-11-19,11,7,Enrolling
SITE-00132,CT-2023-0008,Nicholasborough Health Network,Italy,Dr. Gibson,2025-09-29,2025-10-17,9,9,Enrollment Complete
SITE-00133,CT-2023-0008,Kathleenfurt Health Network,Spain,Dr. Ramirez,2025-11-28,2026-01-09,14,1,Enrolling
SITE-00134,CT-2023-0008,Kingland University Hospital,United States,Dr. Ruiz,2025-12-03,2026-01-12,15,2,Enrolling
SITE-00135,CT-2023-0008,West Jeffreyland University Medical Faculty,Netherlands,Dr. Harrington,2025-09-22,2025-11-09,13,6,Enrolling
SITE-00136,CT-2023-0008,Port Anthonybury University Hospital,United Kingdom,Dr. Gonzalez,2025-11-07,2025-11-28,7,0,Activated
SITE-00137,CT-2023-0008,New Elijahberg Regional Clinical Institute,Netherlands,Dr. Wells,2025-11-24,2025-11-30,10,10,Enrollment Complete
SITE-00138,CT-2023-0008,New Staciemouth Health Network,Japan,Dr. Lyons,2025-09-29,2025-10-18,8,6,Enrolling
SITE-00139,CT-2023-0008,Garyville Memorial Hospital,Germany,Dr. Strickland,2025-09-15,2025-10-21,11,11,Enrollment Complete
SITE-00140,CT-2023-0008,West Daniel University Medical Faculty,Spain,Dr. Johnson,2025-11-12,2025-10-15,14,14,Enrollment Complete
SITE-00141,CT-2023-0008,Barbarafurt Medical Center,Japan,Dr. Sanders,2025-10-03,2025-10-18,15,12,Enrolling
SITE-00142,CT-2023-0008,North Brittany Regional Clinical Institute,Netherlands,Dr. Rivas,2025-09-22,2025-10-31,8,8,Enrollment Complete
SITE-00143,CT-2023-0008,North Heidi Clinical Research Center,Spain,Dr. Turner,2025-11-10,2025-12-06,6,6,Enrollment Complete
SITE-00144,CT-2023-0008,Port Tonyaton Regional Clinical Institute,Japan,Dr. Reed,2025-11-02,2025-11-12,11,3,Enrolling
SITE-00145,CT-2023-0008,Stanleyland University Hospital,Belgium,Dr. Hunter,2025-11-11,2025-11-11,14,8,Enrolling
SITE-00146,CT-2023-0008,Alexanderchester University Hospital,Canada,Dr. Short,2025-10-01,2025-09-20,14,9,Enrolling
SITE-00147,CT-2023-0008,South Susanmouth General Hospital,United States,Dr. Zimmerman,2025-11-03,2025-12-03,7,0,Activated
SITE-00148,CT-2023-0008,Thompsonhaven Medical Center,Italy,Dr. Sheppard,2025-11-04,2025-12-08,14,9,Enrolling
SITE-00149,CT-2023-0008,Christinaside Specialty Clinic,Belgium,Dr. Hampton,2025-10-22,2025-11-04,6,4,Enrolling
SITE-00150,CT-2024-0009,Grahamshire University Hospital,Netherlands,Dr. Adams,2024-08-09,2024-08-07,11,11,Enrollment Complete
SITE-00151,CT-2024-0009,Port Sarah Clinical Research Center,Spain,Dr. Ramirez,2024-10-23,2024-11-17,11,11,Enrollment Complete
SITE-00152,CT-2024-0009,Sanchezmouth University Medical Faculty,Germany,Dr. Hudson,2024-07-30,2024-09-15,12,12,Enrollment Complete
SITE-00153,CT-2024-0009,Rogersfort General Hospital,Netherlands,Dr. Rosales,2024-08-02,2024-09-02,9,9,Enrollment Complete
SITE-00154,CT-2024-0009,South Jason Medical Center,Czech Republic,Dr. Salinas,2024-09-14,2024-09-18,8,8,Enrollment Complete
SITE-00155,CT-2024-0009,Joshuaview University Hospital,Czech Republic,Dr. Peters,2024-10-10,2024-10-07,13,13,Enrollment Complete
SITE-00156,CT-2024-0009,North John General Hospital,Netherlands,Dr. Russell,2024-09-22,2024-09-08,13,13,Enrollment Complete
SITE-00157,CT-2024-0009,Lake Thomas Memorial Hospital,Spain,Dr. Joseph,2024-10-24,2024-10-26,13,13,Enrollment Complete
SITE-00158,CT-2024-0009,Mcguireland General Hospital,Czech Republic,Dr. Phillips,2024-10-06,2024-11-09,8,8,Enrollment Complete
SITE-00159,CT-2024-0009,Holtport General Hospital,Czech Republic,Dr. Beck,2024-08-26,2024-08-30,11,11,Enrollment Complete
SITE-00160,CT-2024-0009,Thomashaven Health Network,Czech Republic,Dr. Cooper,2024-08-04,2024-08-17,8,6,Enrollment Closed
SITE-00161,CT-2024-0009,Michaelmouth Health Network,Netherlands,Dr. Nelson,2024-10-16,2024-10-18,5,5,Enrollment Complete
SITE-00162,CT-2024-0009,Jerryborough Specialty Clinic,Czech Republic,Dr. Stewart,2024-08-08,2024-08-27,8,8,Enrollment Complete
SITE-00163,CT-2024-0009,East Javier Specialty Clinic,Czech Republic,Dr. Washington,2024-10-04,2024-10-07,13,13,Enrollment Complete
SITE-00164,CT-2024-0009,Tinaborough University Hospital,Czech Republic,Dr. Phillips,2024-09-25,2024-10-11,12,12,Enrollment Complete
SITE-00165,CT-2024-0009,Harrytown Health Network,Spain,Dr. Erickson,2024-10-13,2024-11-17,13,12,Enrollment Closed
SITE-00166,CT-2024-0009,West Brandon Health Network,Spain,Dr. Brown,2024-10-21,2024-09-27,13,13,Enrollment Complete
SITE-00167,CT-2024-0009,Heidiberg University Medical Faculty,Spain,Dr. Little,2024-09-15,2024-10-13,5,5,Enrollment Complete
SITE-00168,CT-2024-0009,Garciatown Clinical Research Center,Czech Republic,Dr. Andrews,2024-09-23,2024-10-25,10,10,Enrollment Complete
SITE-00169,CT-2024-0010,Mendozamouth University Hospital,France,Dr. Lopez,2024-09-13,2024-09-17,45,45,Enrollment Complete
SITE-00170,CT-2024-0010,West Shelleyfort University Hospital,Australia,Dr. Wilson,2024-08-10,2024-08-22,23,23,Enrollment Complete
SITE-00171,CT-2024-0010,South Travisshire Specialty Clinic,Poland,Dr. Soto,2024-07-31,2024-08-31,34,34,Enrollment Complete
SITE-00172,CT-2024-0010,East Edwardshire General Hospital,Australia,Dr. Avery,2024-07-14,2024-08-13,51,51,Enrollment Complete
SITE-00173,CT-2024-0010,East Davidchester Medical Center,Poland,Dr. Obrien,2024-08-15,2024-07-30,42,42,Enrollment Complete
SITE-00174,CT-2024-0010,Port Alexandra Clinical Research Center,Australia,Dr. Hayes,2024-07-08,2024-07-09,22,22,Enrollment Complete
SITE-00175,CT-2024-0010,Evansshire Medical Center,Poland,Dr. Branch,2024-08-03,2024-09-04,20,15,Enrollment Closed
SITE-00176,CT-2024-0010,Ashleyton Health Network,Australia,Dr. Lynch,2024-08-14,2024-08-01,26,26,Enrollment Complete
SITE-00177,CT-2024-0011,Port Jaredborough Health Network,Belgium,Dr. Baker,2025-03-19,2025-03-20,9,9,Enrollment Complete
SITE-00178,CT-2024-0011,East Johnside General Hospital,Belgium,Dr. Jones,2025-03-19,2025-03-10,11,11,Enrollment Complete
SITE-00179,CT-2024-0012,South Shannonfort Clinical Research Center,Belgium,Dr. Carter,2023-09-21,2023-09-27,13,13,Enrollment Complete
SITE-00180,CT-2024-0012,West Jasmine Memorial Hospital,Belgium,Dr. Warner,2023-12-07,2024-02-28,20,20,Enrollment Complete
SITE-00181,CT-2024-0012,Jonesbury Specialty Clinic,United States,Dr. Bradshaw,2023-12-14,2024-02-03,12,12,Enrollment Complete
SITE-00182,CT-2024-0012,South Danny Regional Clinical Institute,Belgium,Dr. Walker,2023-10-26,2023-10-14,15,15,Enrollment Complete
SITE-00183,CT-2024-0012,West Margaret Health Network,Poland,Dr. Jones,2023-11-30,2023-12-26,26,26,Enrollment Complete
SITE-00184,CT-2024-0012,Port Kyle Clinical Research Center,Spain,Dr. Curry,2023-11-29,2023-12-24,15,15,Enrollment Complete
SITE-00185,CT-2024-0012,Scottmouth General Hospital,Canada,Dr. Barker,2023-10-26,2023-11-30,26,26,Enrollment Complete
SITE-00186,CT-2024-0012,Benderhaven General Hospital,United States,Dr. Fernandez,2023-10-06,2023-11-18,12,12,Enrollment Complete
SITE-00187,CT-2024-0012,Millerton Regional Clinical Institute,South Africa,Dr. Preston,2023-12-07,2023-11-29,28,28,Enrollment Complete
SITE-00188,CT-2024-0012,Cassandratown General Hospital,Netherlands,Dr. Davis,2023-12-07,2023-12-26,14,14,Enrollment Complete
SITE-00189,CT-2024-0012,Port Emilyview Medical Center,United Kingdom,Dr. Johnston,2023-11-28,2023-12-14,18,18,Enrollment Complete
SITE-00190,CT-2024-0012,South April General Hospital,Belgium,Dr. Ramos,2023-09-16,2023-10-17,11,11,Enrollment Complete
SITE-00191,CT-2024-0012,Howardshire University Medical Faculty,United States,Dr. Graham,2023-10-24,2023-10-15,19,19,Enrollment Complete
SITE-00192,CT-2024-0012,Costafort General Hospital,Belgium,Dr. Bailey,2023-10-01,2023-10-08,29,29,Enrollment Complete
SITE-00193,CT-2024-0012,Manuelville University Hospital,Canada,Dr. Hodge,2023-10-12,2023-10-28,11,11,Enrollment Complete
SITE-00194,CT-2024-0012,Robertfort Medical Center,South Korea,Dr. Roberts,2023-12-09,2024-02-12,22,22,Enrollment Complete
SITE-00195,CT-2024-0012,Cervantesside General Hospital,South Africa,Dr. Johnson,2023-10-15,2023-10-20,11,11,Enrollment Complete
SITE-00196,CT-2024-0012,West Johnnyville Specialty Clinic,Brazil,Dr. Cordova,2023-10-18,2023-10-14,22,22,Enrollment Complete
SITE-00197,CT-2024-0012,Hancocktown Specialty Clinic,Belgium,Dr. Sandoval,2023-12-03,2023-12-04,13,13,Enrollment Complete
SITE-00198,CT-2024-0012,Gutierrezborough Medical Center,Brazil,Dr. Stone,2023-10-24,2023-11-14,14,14,Enrollment Complete
SITE-00199,CT-2024-0012,Garrettton Memorial Hospital,Belgium,Dr. Harris,2023-09-18,2023-09-28,32,32,Enrollment Complete
SITE-00200,CT-2024-0012,West Samuel Specialty Clinic,United States,Dr. Wolfe,2023-11-09,2023-11-28,26,26,Enrollment Complete
