milestone_id,study_id,milestone_type,planned_date,actual_date,status,variance_days
MS-CT-2023-0004-031,CT-2023-0004,Protocol Approved,2024-02-03,2024-02-14,Completed,11
MS-CT-2023-0004-032,CT-2023-0004,First IRB/EC Approval,2024-02-15,2024-02-08,Completed,-7
MS-CT-2023-0004-033,CT-2023-0004,First Site Activated,2024-05-09,2024-04-20,Completed,-19
MS-CT-2023-0004-034,CT-2023-0004,First Patient In,2024-06-09,2024-04-01,Completed,-69
MS-CT-2023-0004-035,CT-2023-0004,25% Enrollment,2024-12-09,2025-01-13,Completed,35
MS-CT-2023-0004-036,CT-2023-0004,50% Enrollment,2025-06-09,2025-09-16,Completed,99
MS-CT-2023-0004-037,CT-2023-0004,Last Patient In,2025-12-03,2026-07-01,Completed,210
MS-CT-2023-0004-038,CT-2023-0004,Database Lock,2026-09-30,,Pending,
MS-CT-2023-0004-039,CT-2023-0004,Last Patient Out,2026-11-06,,Pending,
MS-CT-2023-0004-040,CT-2023-0004,Clinical Study Report Finalized,2027-01-30,,Pending,
MS-CT-2023-0005-041,CT-2023-0005,Protocol Approved,2023-01-15,2023-01-26,Completed,11
MS-CT-2023-0005-042,CT-2023-0005,First IRB/EC Approval,2023-04-12,2023-04-29,Completed,17
MS-CT-2023-0005-043,CT-2023-0005,First Site Activated,2023-06-18,2023-05-30,Completed,-19
MS-CT-2023-0005-044,CT-2023-0005,First Patient In,2023-07-04,2023-07-01,Completed,-3
MS-CT-2023-0005-045,CT-2023-0005,25% Enrollment,2023-09-04,2024-01-20,Completed,138
MS-CT-2023-0005-046,CT-2023-0005,50% Enrollment,2023-12-04,2024-07-12,Completed,221
MS-CT-2023-0005-047,CT-2023-0005,Last Patient In,2024-02-22,2025-02-01,Completed,345
MS-CT-2023-0005-048,CT-2023-0005,Database Lock,2024-06-09,2025-03-28,Completed,292
MS-CT-2023-0005-049,CT-2023-0005,Last Patient Out,2024-06-26,2025-02-28,Completed,247
MS-CT-2023-0005-050,CT-2023-0005,Clinical Study Report Finalized,2024-09-25,2025-05-01,Completed,218
MS-CT-2023-0006-051,CT-2023-0006,Protocol Approved,2024-07-12,2024-08-01,Completed,20
MS-CT-2023-0006-052,CT-2023-0006,First IRB/EC Approval,2024-10-23,2024-10-25,Completed,2
MS-CT-2023-0006-053,CT-2023-0006,First Site Activated,2024-12-20,2024-12-20,Completed,0
MS-CT-2023-0006-054,CT-2023-0006,First Patient In,2025-01-07,2025-02-01,Completed,25
MS-CT-2023-0006-055,CT-2023-0006,25% Enrollment,2025-03-07,2025-07-20,Completed,135
MS-CT-2023-0006-056,CT-2023-0006,50% Enrollment,2025-05-07,2025-12-13,Completed,220
MS-CT-2023-0006-057,CT-2023-0006,Last Patient In,2025-06-23,2026-06-01,Completed,343
MS-CT-2023-0006-058,CT-2023-0006,Database Lock,2025-09-19,2026-07-16,Completed,300
MS-CT-2023-0006-059,CT-2023-0006,Last Patient Out,2025-10-07,2026-06-24,Completed,260
MS-CT-2023-0006-060,CT-2023-0006,Clinical Study Report Finalized,2025-12-24,2026-09-06,Completed,256
MS-CT-2023-0007-061,CT-2023-0007,Protocol Approved,2024-08-18,2024-08-30,Completed,12
MS-CT-2023-0007-062,CT-2023-0007,First IRB/EC Approval,2024-08-26,2024-09-06,Completed,11
MS-CT-2023-0007-063,CT-2023-0007,First Site Activated,2024-12-05,2024-10-25,Completed,-41
MS-CT-2023-0007-064,CT-2023-0007,First Patient In,2024-12-25,2024-10-01,Completed,-85
MS-CT-2023-0007-065,CT-2023-0007,25% Enrollment,2025-11-25,2025-05-12,Completed,-197
MS-CT-2023-0007-066,CT-2023-0007,50% Enrollment,2026-11-25,2025-11-19,Completed,-371
MS-CT-2023-0007-067,CT-2023-0007,Last Patient In,2028-01-15,2026-07-01,Completed,-563
MS-CT-2023-0007-068,CT-2023-0007,Database Lock,2029-06-10,,Pending,
MS-CT-2023-0007-069,CT-2023-0007,Last Patient Out,2029-07-01,,Pending,
MS-CT-2023-0007-070,CT-2023-0007,Clinical Study Report Finalized,2029-08-30,,Pending,
MS-CT-2023-0008-071,CT-2023-0008,Protocol Approved,2025-05-21,2025-06-05,Completed,15
MS-CT-2023-0008-072,CT-2023-0008,First IRB/EC Approval,2025-06-28,2025-06-29,Completed,1
MS-CT-2023-0008-073,CT-2023-0008,First Site Activated,2025-10-20,2025-09-07,Completed,-43
MS-CT-2023-0008-074,CT-2023-0008,First Patient In,2025-11-30,2025-09-01,Completed,-90
MS-CT-2023-0008-075,CT-2023-0008,25% Enrollment,2026-07-28,2025-12-16,Completed,-224
MS-CT-2023-0008-076,CT-2023-0008,50% Enrollment,2027-04-28,2026-03-16,Completed,-408
MS-CT-2023-0008-077,CT-2023-0008,Last Patient In,2028-01-24,,Pending,
MS-CT-2023-0008-078,CT-2023-0008,Database Lock,2029-02-13,,Pending,
MS-CT-2023-0008-079,CT-2023-0008,Last Patient Out,2029-04-09,,Pending,
MS-CT-2023-0008-080,CT-2023-0008,Clinical Study Report Finalized,2029-07-17,,Pending,
MS-CT-2024-0009-081,CT-2024-0009,Protocol Approved,2024-03-15,2024-03-26,Completed,11
MS-CT-2024-0009-082,CT-2024-0009,First IRB/EC Approval,2024-05-09,2024-05-15,Completed,6
MS-CT-2024-0009-083,CT-2024-0009,First Site Activated,2024-08-29,2024-08-07,Completed,-22
MS-CT-2024-0009-084,CT-2024-0009,First Patient In,2024-09-22,2024-08-01,Completed,-52
MS-CT-2024-0009-085,CT-2024-0009,25% Enrollment,2025-01-22,2025-03-23,Completed,60
MS-CT-2024-0009-086,CT-2024-0009,50% Enrollment,2025-05-22,2025-10-09,Completed,140
MS-CT-2024-0009-087,CT-2024-0009,Last Patient In,2025-07-30,2026-06-01,Completed,306
MS-CT-2024-0009-088,CT-2024-0009,Database Lock,2026-02-10,2026-07-18,Completed,158
MS-CT-2024-0009-089,CT-2024-0009,Last Patient Out,2026-03-05,2026-06-22,Completed,109
MS-CT-2024-0009-090,CT-2024-0009,Clinical Study Report Finalized,2026-05-13,2026-08-25,Completed,104
MS-CT-2024-0010-091,CT-2024-0010,Protocol Approved,2024-02-20,2024-02-21,Completed,1
MS-CT-2024-0010-092,CT-2024-0010,First IRB/EC Approval,2024-03-09,2024-03-10,Completed,1
MS-CT-2024-0010-093,CT-2024-0010,First Site Activated,2024-06-17,2024-07-09,Completed,22
MS-CT-2024-0010-094,CT-2024-0010,First Patient In,2024-07-12,2024-08-01,Completed,20
MS-CT-2024-0010-095,CT-2024-0010,25% Enrollment,2025-01-12,2025-04-02,Completed,80
MS-CT-2024-0010-096,CT-2024-0010,50% Enrollment,2025-08-12,2025-10-29,Completed,78
MS-CT-2024-0010-097,CT-2024-0010,Last Patient In,2026-04-17,2026-07-01,Completed,75
MS-CT-2024-0010-098,CT-2024-0010,Database Lock,2027-01-07,,Pending,
MS-CT-2024-0010-099,CT-2024-0010,Last Patient Out,2027-03-01,,Pending,
MS-CT-2024-0010-100,CT-2024-0010,Clinical Study Report Finalized,2027-04-25,,Pending,
MS-CT-2024-0011-101,CT-2024-0011,Protocol Approved,2024-12-23,2025-01-06,Completed,14
MS-CT-2024-0011-102,CT-2024-0011,First IRB/EC Approval,2025-01-28,2025-01-27,Completed,-1
MS-CT-2024-0011-103,CT-2024-0011,First Site Activated,2025-04-24,2025-03-10,Completed,-45
MS-CT-2024-0011-104,CT-2024-0011,First Patient In,2025-05-29,2025-03-01,Completed,-89
MS-CT-2024-0011-105,CT-2024-0011,25% Enrollment,2025-08-28,2025-07-17,Completed,-42
MS-CT-2024-0011-106,CT-2024-0011,50% Enrollment,2025-11-28,2025-11-13,Completed,-15
MS-CT-2024-0011-107,CT-2024-0011,Last Patient In,2026-01-13,2026-04-01,Completed,78
MS-CT-2024-0011-108,CT-2024-0011,Database Lock,2026-04-11,2026-06-09,Completed,59
MS-CT-2024-0011-109,CT-2024-0011,Last Patient Out,2026-06-11,2026-05-03,Completed,-39
MS-CT-2024-0011-110,CT-2024-0011,Clinical Study Report Finalized,2026-08-21,2026-07-11,Completed,-41
MS-CT-2024-0012-111,CT-2024-0012,Protocol Approved,2023-06-30,2023-06-14,Completed,-16
MS-CT-2024-0012-112,CT-2024-0012,First IRB/EC Approval,2023-07-16,2023-08-03,Completed,18
MS-CT-2024-0012-113,CT-2024-0012,First Site Activated,2023-10-23,2023-09-05,Completed,-48
MS-CT-2024-0012-114,CT-2024-0012,First Patient In,2023-11-10,2023-09-01,Completed,-70
MS-CT-2024-0012-115,CT-2024-0012,25% Enrollment,2024-10-10,2024-05-13,Completed,-150
MS-CT-2024-0012-116,CT-2024-0012,50% Enrollment,2025-09-10,2024-12-19,Completed,-265
MS-CT-2024-0012-117,CT-2024-0012,Last Patient In,2026-11-14,2025-09-01,Completed,-439
MS-CT-2024-0012-118,CT-2024-0012,Database Lock,2028-03-28,,Pending,
MS-CT-2024-0012-119,CT-2024-0012,Last Patient Out,2028-05-08,,Pending,
MS-CT-2024-0012-120,CT-2024-0012,Clinical Study Report Finalized,2028-07-24,,Pending,
MS-CT-2024-0013-121,CT-2024-0013,Protocol Approved,2023-08-16,2023-08-19,Completed,3
MS-CT-2024-0013-122,CT-2024-0013,First IRB/EC Approval,2023-09-29,2023-10-06,Completed,7
MS-CT-2024-0013-123,CT-2024-0013,First Site Activated,2023-12-18,2023-11-25,Completed,-23
MS-CT-2024-0013-124,CT-2024-0013,First Patient In,2024-01-28,2023-11-01,Completed,-88
MS-CT-2024-0013-125,CT-2024-0013,25% Enrollment,2024-06-28,2024-07-02,Completed,4
MS-CT-2024-0013-126,CT-2024-0013,50% Enrollment,2024-11-28,2025-01-29,Completed,62
MS-CT-2024-0013-127,CT-2024-0013,Last Patient In,2025-04-13,2025-10-01,Completed,171
MS-CT-2024-0013-128,CT-2024-0013,Database Lock,2025-11-27,2025-12-10,Completed,13
MS-CT-2024-0013-129,CT-2024-0013,Last Patient Out,2026-01-10,2025-11-13,Completed,-58
MS-CT-2024-0013-130,CT-2024-0013,Clinical Study Report Finalized,2026-03-15,2026-01-29,Completed,-45
MS-CT-2024-0014-131,CT-2024-0014,Protocol Approved,2023-08-06,2023-09-01,Completed,26
MS-CT-2024-0014-132,CT-2024-0014,First IRB/EC Approval,2023-09-02,2023-09-11,Completed,9
MS-CT-2024-0014-133,CT-2024-0014,First Site Activated,2023-11-23,2023-11-07,Completed,-16
MS-CT-2024-0014-134,CT-2024-0014,First Patient In,2024-01-04,2023-11-01,Completed,-64
MS-CT-2024-0014-135,CT-2024-0014,25% Enrollment,2024-12-04,2024-07-13,Completed,-144
MS-CT-2024-0014-136,CT-2024-0014,50% Enrollment,2025-12-04,2025-02-18,Completed,-289
MS-CT-2024-0014-137,CT-2024-0014,Last Patient In,2027-01-25,,Pending,
MS-CT-2024-0014-138,CT-2024-0014,Database Lock,2028-06-18,,Pending,
MS-CT-2024-0014-139,CT-2024-0014,Last Patient Out,2028-07-02,,Pending,
MS-CT-2024-0014-140,CT-2024-0014,Clinical Study Report Finalized,2028-10-04,,Pending,
MS-CT-2024-0015-141,CT-2024-0015,Protocol Approved,2026-08-05,,Pending,
MS-CT-2024-0015-142,CT-2024-0015,First IRB/EC Approval,2026-09-16,,Pending,
MS-CT-2024-0015-143,CT-2024-0015,First Site Activated,2026-12-13,,Pending,
MS-CT-2024-0015-144,CT-2024-0015,First Patient In,2027-01-01,,Pending,
MS-CT-2024-0015-145,CT-2024-0015,25% Enrollment,2027-10-01,,Pending,
MS-CT-2024-0015-146,CT-2024-0015,50% Enrollment,2028-07-01,,Pending,
MS-CT-2024-0015-147,CT-2024-0015,Last Patient In,2029-05-22,,Pending,
MS-CT-2024-0015-148,CT-2024-0015,Database Lock,2030-05-10,,Pending,
MS-CT-2024-0015-149,CT-2024-0015,Last Patient Out,2030-07-01,,Pending,
MS-CT-2024-0015-150,CT-2024-0015,Clinical Study Report Finalized,2030-08-21,,Pending,
MS-CT-2024-0016-151,CT-2024-0016,Protocol Approved,2022-11-16,2022-11-26,Completed,10
MS-CT-2024-0016-152,CT-2024-0016,First IRB/EC Approval,2023-01-16,2023-01-26,Completed,10
MS-CT-2024-0016-153,CT-2024-0016,First Site Activated,2023-03-27,2023-04-06,Completed,10
MS-CT-2024-0016-154,CT-2024-0016,First Patient In,2023-05-01,2023-04-01,Completed,-30
MS-CT-2024-0016-155,CT-2024-0016,25% Enrollment,2023-09-01,2023-10-31,Completed,60
MS-CT-2024-0016-156,CT-2024-0016,50% Enrollment,2024-01-01,2024-05-01,Completed,121
MS-CT-2024-0016-157,CT-2024-0016,Last Patient In,2024-04-28,2024-12-01,Completed,217
MS-CT-2024-0016-158,CT-2024-0016,Database Lock,2024-09-26,2025-01-13,Completed,109
MS-CT-2024-0016-159,CT-2024-0016,Last Patient Out,2024-10-30,2025-01-01,Completed,63
MS-CT-2024-0016-160,CT-2024-0016,Clinical Study Report Finalized,2024-12-25,2025-04-02,Completed,98
MS-CT-2025-0017-161,CT-2025-0017,Protocol Approved,2022-11-21,2022-12-15,Completed,24
MS-CT-2025-0017-162,CT-2025-0017,First IRB/EC Approval,2023-01-10,2023-01-15,Completed,5
MS-CT-2025-0017-163,CT-2025-0017,First Site Activated,2023-05-02,2023-03-15,Completed,-48
MS-CT-2025-0017-164,CT-2025-0017,First Patient In,2023-05-12,2023-03-01,Completed,-72
MS-CT-2025-0017-165,CT-2025-0017,25% Enrollment,2024-02-12,2023-11-22,Completed,-82
MS-CT-2025-0017-166,CT-2025-0017,50% Enrollment,2024-12-12,2024-07-08,Completed,-157
MS-CT-2025-0017-167,CT-2025-0017,Last Patient In,2025-12-20,2025-04-01,Completed,-263
MS-CT-2025-0017-168,CT-2025-0017,Database Lock,2027-03-21,,Pending,
MS-CT-2025-0017-169,CT-2025-0017,Last Patient Out,2027-03-28,,Pending,
MS-CT-2025-0017-170,CT-2025-0017,Clinical Study Report Finalized,2027-07-10,,Pending,
MS-CT-2025-0018-171,CT-2025-0018,Protocol Approved,2023-03-09,2023-04-01,Completed,23
MS-CT-2025-0018-172,CT-2025-0018,First IRB/EC Approval,2023-05-18,2023-05-18,Completed,0
MS-CT-2025-0018-173,CT-2025-0018,First Site Activated,2023-08-22,2023-08-16,Completed,-6
MS-CT-2025-0018-174,CT-2025-0018,First Patient In,2023-09-07,2023-08-01,Completed,-37
MS-CT-2025-0018-175,CT-2025-0018,25% Enrollment,2024-02-07,2024-03-11,Completed,33
MS-CT-2025-0018-176,CT-2025-0018,50% Enrollment,2024-08-07,2024-09-19,Completed,43
MS-CT-2025-0018-177,CT-2025-0018,Last Patient In,2024-12-26,2025-05-01,Completed,126
MS-CT-2025-0018-178,CT-2025-0018,Database Lock,2025-09-21,2025-06-06,Completed,-107
MS-CT-2025-0018-179,CT-2025-0018,Last Patient Out,2025-10-21,2025-05-19,Completed,-155
MS-CT-2025-0018-180,CT-2025-0018,Clinical Study Report Finalized,2026-01-17,2025-07-21,Completed,-180
MS-CT-2025-0019-181,CT-2025-0019,Protocol Approved,2024-03-23,2024-03-26,Completed,3
MS-CT-2025-0019-182,CT-2025-0019,First IRB/EC Approval,2024-04-27,2024-05-12,Completed,15
MS-CT-2025-0019-183,CT-2025-0019,First Site Activated,2024-08-11,2024-08-08,Completed,-3
MS-CT-2025-0019-184,CT-2025-0019,First Patient In,2024-09-03,2024-08-01,Completed,-33
MS-CT-2025-0019-185,CT-2025-0019,25% Enrollment,2025-03-03,2025-04-02,Completed,30
MS-CT-2025-0019-186,CT-2025-0019,50% Enrollment,2025-10-03,2025-10-29,Completed,26
MS-CT-2025-0019-187,CT-2025-0019,Last Patient In,2026-06-27,2026-07-01,Completed,4
MS-CT-2025-0019-188,CT-2025-0019,Database Lock,2027-03-14,,Pending,
MS-CT-2025-0019-189,CT-2025-0019,Last Patient Out,2027-04-20,,Pending,
MS-CT-2025-0019-190,CT-2025-0019,Clinical Study Report Finalized,2027-08-05,,Pending,
MS-CT-2025-0020-191,CT-2025-0020,Protocol Approved,2023-01-08,2023-01-25,Completed,17
MS-CT-2025-0020-192,CT-2025-0020,First IRB/EC Approval,2023-02-21,2023-02-16,Completed,-5
MS-CT-2025-0020-193,CT-2025-0020,First Site Activated,2023-05-20,2023-05-27,Completed,7
MS-CT-2025-0020-194,CT-2025-0020,First Patient In,2023-06-18,2023-05-01,Completed,-48
MS-CT-2025-0020-195,CT-2025-0020,25% Enrollment,2024-03-18,2024-01-11,Completed,-67
MS-CT-2025-0020-196,CT-2025-0020,50% Enrollment,2025-01-18,2024-08-18,Completed,-153
MS-CT-2025-0020-197,CT-2025-0020,Last Patient In,2025-12-28,,Delayed,
MS-CT-2025-0020-198,CT-2025-0020,Database Lock,2027-02-17,,Pending,
MS-CT-2025-0020-199,CT-2025-0020,Last Patient Out,2027-03-22,,Pending,
MS-CT-2025-0020-200,CT-2025-0020,Clinical Study Report Finalized,2027-06-03,,Pending,
